Warehouse ID,Item Number,QOH,Incoming,Safety Limit,Bin Location
Berlin Factory,SKU-133,8801,229,101,BIN-16
Tokyo Port,SKU-995,8391,127,191,BIN-14
Dallas DC,SKU-743,4572,354,349,BIN-21
Berlin Factory,SKU-823,84,200,131,BIN-14
Tokyo Port,SKU-885,9518,481,360,BIN-38
Dallas DC,SKU-663,5500,221,491,BIN-14
Tokyo Port,SKU-101,1754,217,247,BIN-15
Dallas DC,SKU-727,154,455,250,BIN-39
Tokyo Port,SKU-670,5975,201,258,BIN-25
Dallas DC,SKU-733,7196,443,478,BIN-22
Dallas DC,SKU-270,2864,145,293,BIN-7
Dallas DC,SKU-723,5485,252,191,BIN-37
Dallas DC,SKU-910,5738,135,294,BIN-12
Berlin Factory,SKU-252,6502,391,406,BIN-16
Tokyo Port,SKU-790,3942,91,401,BIN-9
Tokyo Port,SKU-467,9249,265,201,BIN-22
Dallas DC,SKU-513,2575,438,405,BIN-21
Dallas DC,SKU-197,2462,321,420,BIN-6
Dallas DC,SKU-401,9674,267,450,BIN-2
Berlin Factory,SKU-349,496,241,115,BIN-26
Berlin Factory,SKU-105,8133,386,393,BIN-1
Tokyo Port,SKU-886,830,288,114,BIN-38
Dallas DC,SKU-253,9723,216,284,BIN-12
Berlin Factory,SKU-670,1809,135,316,BIN-22
Dallas DC,SKU-614,1629,72,310,BIN-36
Berlin Factory,SKU-149,5323,135,488,BIN-33
Tokyo Port,SKU-398,719,92,457,BIN-17
Berlin Factory,SKU-507,6880,66,213,BIN-22
Tokyo Port,SKU-579,2335,330,431,BIN-2
Dallas DC,SKU-900,1300,25,161,BIN-15
Tokyo Port,SKU-310,4481,412,233,BIN-25
Tokyo Port,SKU-329,3302,179,112,BIN-14
Dallas DC,SKU-293,4657,185,471,BIN-2
Dallas DC,SKU-961,4755,113,218,BIN-32
Berlin Factory,SKU-594,980,392,499,BIN-24
Berlin Factory,SKU-435,7484,455,296,BIN-16
Berlin Factory,SKU-367,4730,73,276,BIN-25
Tokyo Port,SKU-771,1017,369,500,BIN-21
Tokyo Port,SKU-103,844,113,427,BIN-18
Dallas DC,SKU-577,5105,301,363,BIN-8
Dallas DC,SKU-733,3645,2,196,BIN-3
Dallas DC,SKU-733,362,141,171,BIN-1
Berlin Factory,SKU-760,6741,56,410,BIN-2
Dallas DC,SKU-552,7233,242,363,BIN-1
Tokyo Port,SKU-382,7717,406,105,BIN-25
Berlin Factory,SKU-908,7844,130,441,BIN-23
Dallas DC,SKU-985,1284,366,428,BIN-15
Dallas DC,SKU-590,7760,185,239,BIN-29
Berlin Factory,SKU-522,1644,384,485,BIN-21
Berlin Factory,SKU-955,1094,22,381,BIN-34
Berlin Factory,SKU-802,2926,98,371,BIN-1
Dallas DC,SKU-312,8262,174,216,BIN-26
Berlin Factory,SKU-980,5768,274,233,BIN-18
Berlin Factory,SKU-687,2398,258,218,BIN-20
