PO#,Ship From,Destination,Status,Total Amount,Expected Arrival,Carrier Reference,Internal Notes
PO-792566,Berlin Factory,Shanghai Port,AT_PORT,124996.11,2026-04-06 19:51:23,CARR-3860,
PO-841847,Shanghai Port,Tokyo Port,IN_TRANSIT,155968.73,2026-04-04 19:51:23,CARR-2487,
PO-362263,Tokyo Port,Dallas DC,AT_PORT,208534.11,2026-03-27 19:51:23,CARR-4594,
PO-753867,Shanghai Port,Rotterdam,AT_PORT,209433.75,2026-04-22 19:51:23,CARR-8963,
PO-935177,Rotterdam,Dallas DC,IN_TRANSIT,35471.17,2026-03-29 19:51:23,CARR-3912,
PO-667056,Tokyo Port,Los Angeles Port,IN_TRANSIT,89195.15,2026-03-17 19:51:23,CARR-6913,
PO-457273,Shanghai Port,Dallas DC,IN_TRANSIT,67893.13,2026-04-18 19:51:23,CARR-6128,
PO-412438,Tokyo Port,Los Angeles Port,AT_PORT,49872.13,2026-04-12 19:51:23,CARR-3098,
PO-914815,Berlin Factory,Shanghai Port,IN_TRANSIT,105073.66,2026-04-09 19:51:23,CARR-8084,Handle with care
PO-650842,Rotterdam,Berlin Factory,AT_PORT,224595.19,2026-04-02 19:51:23,CARR-4786,Handle with care
PO-936172,Shanghai Port,Los Angeles Port,AT_PORT,52637.1,2026-03-15 19:51:23,CARR-8815,
PO-113974,Shanghai Port,Tokyo Port,DELIVERED,147187.89,2026-03-21 19:51:23,CARR-2456,
PO-692876,Rotterdam,Shanghai Port,IN_TRANSIT,115522.19,2026-04-02 19:51:23,CARR-5836,
PO-195775,Shanghai Port,Rotterdam,AT_PORT,203714.17,2026-04-05 19:51:23,CARR-9088,
PO-447830,Shanghai Port,Los Angeles Port,IN_TRANSIT,8341.9,2026-04-13 19:51:23,CARR-1512,Handle with care
PO-674412,Los Angeles Port,Tokyo Port,AT_PORT,123566.66,2026-04-18 19:51:23,CARR-1744,
PO-467840,Los Angeles Port,Berlin Factory,CUSTOMS_HOLD,136251.65,2026-04-11 19:51:23,CARR-6711,Handle with care
PO-931616,Rotterdam,Berlin Factory,DELAYED,144388.02,2026-03-25 19:51:23,CARR-2113,
PO-575562,Los Angeles Port,Berlin Factory,IN_TRANSIT,178275.73,2026-04-18 19:51:23,CARR-5695,
PO-997235,Tokyo Port,Rotterdam,IN_TRANSIT,136844.04,2026-03-23 19:51:23,CARR-1206,
PO-631566,Tokyo Port,Shanghai Port,AT_PORT,116974.12,2026-03-17 19:51:23,CARR-4461,
PO-233298,Shanghai Port,Dallas DC,AT_PORT,12684.27,2026-03-20 19:51:23,CARR-8990,
PO-314999,Los Angeles Port,Dallas DC,DELIVERED,130297.22,2026-03-18 19:51:23,CARR-4366,
PO-412819,Rotterdam,Berlin Factory,IN_TRANSIT,111397.08,2026-03-29 19:51:23,CARR-3502,
PO-125682,Shanghai Port,Dallas DC,IN_TRANSIT,48188.43,2026-04-08 19:51:23,CARR-2140,
PO-124369,Shanghai Port,Los Angeles Port,DELAYED,161242.78,2026-03-22 19:51:23,CARR-3422,
PO-176398,Shanghai Port,Rotterdam,DELIVERED,96222.42,2026-03-15 19:51:23,CARR-2111,
PO-987668,Berlin Factory,Shanghai Port,DELAYED,45235.81,2026-03-28 19:51:23,CARR-9620,
PO-689417,Los Angeles Port,Shanghai Port,IN_TRANSIT,240850.55,2026-04-16 19:51:23,CARR-3512,
PO-357163,Shanghai Port,Los Angeles Port,DELIVERED,230925.03,2026-03-28 19:51:23,CARR-6617,
