Vendor ID,Company Name,D&B Score,OTIF,Country Risk
VEND-6198,Supplier Global 0,3.5,74.0,3.9
VEND-3980,Supplier Global 1,9.3,72.5,4.5
VEND-9243,Supplier Global 2,2.2,86.3,1.4
VEND-5266,Supplier Global 3,9.6,88.0,1.0
VEND-3288,Supplier Global 4,6.9,65.2,3.8
VEND-2511,Supplier Global 5,7.3,82.5,2.4
VEND-1893,Supplier Global 6,7.0,72.2,2.8
VEND-1613,Supplier Global 7,5.0,87.2,3.1
VEND-6903,Supplier Global 8,3.8,76.8,1.7
VEND-1423,Supplier Global 9,5.4,79.7,3.3
VEND-3251,Supplier Global 10,9.5,63.9,3.7
VEND-7572,Supplier Global 11,2.0,67.7,4.4
VEND-3304,Supplier Global 12,2.0,63.1,1.9
VEND-5599,Supplier Global 13,7.0,73.3,1.2
VEND-9387,Supplier Global 14,2.7,87.7,4.3
VEND-4621,Supplier Global 15,7.1,70.5,4.6
VEND-9901,Supplier Global 16,9.3,60.7,2.4
VEND-3830,Supplier Global 17,8.2,98.8,1.6
VEND-1717,Supplier Global 18,9.8,78.2,3.0
VEND-6475,Supplier Global 19,8.0,73.8,1.3
VEND-4839,Supplier Global 20,4.2,64.1,4.3
VEND-6515,Supplier Global 21,5.9,91.6,1.2
VEND-2520,Supplier Global 22,6.3,83.4,3.1
VEND-9341,Supplier Global 23,8.9,95.2,1.4
VEND-4947,Supplier Global 24,3.0,63.1,4.6
VEND-2271,Supplier Global 25,5.8,84.1,4.2
VEND-7831,Supplier Global 26,9.2,67.0,4.5
VEND-3270,Supplier Global 27,5.3,63.6,2.8
VEND-6481,Supplier Global 28,9.0,99.4,1.7
VEND-7377,Supplier Global 29,2.6,95.0,1.3
VEND-8586,Supplier Global 30,6.4,95.5,1.5
VEND-5621,Supplier Global 31,7.2,79.0,2.0
VEND-1745,Supplier Global 32,8.9,66.0,2.1
VEND-3360,Supplier Global 33,2.4,97.5,3.3
VEND-3198,Supplier Global 34,7.5,73.2,1.2
VEND-5154,Supplier Global 35,8.6,72.6,4.9
VEND-7020,Supplier Global 36,5.0,96.5,3.5
VEND-4519,Supplier Global 37,7.7,77.5,5.0
VEND-5453,Supplier Global 38,6.2,95.8,2.2
VEND-4230,Supplier Global 39,9.4,80.6,1.3
VEND-8176,Supplier Global 40,2.9,98.5,2.2
VEND-7664,Supplier Global 41,7.4,62.6,4.6
VEND-7012,Supplier Global 42,4.3,90.0,3.2
VEND-1323,Supplier Global 43,9.8,67.3,1.3
VEND-4327,Supplier Global 44,2.8,86.1,3.6
VEND-4576,Supplier Global 45,3.8,73.7,1.4
VEND-5791,Supplier Global 46,6.0,65.2,2.2
VEND-7394,Supplier Global 47,6.3,86.3,2.0
VEND-8755,Supplier Global 48,8.6,71.3,2.1
VEND-5223,Supplier Global 49,7.8,64.4,4.0
