shipment_id,po_number,origin_node,destination_node,carrier,route,cargo_type,contract_type,customer_tier,total_value_usd,total_cost_usd,credit_days,expected_arrival_utc
CRIT-45F722ED,PO-95814,CN,EU,Evergreen,CN-EU,pharmaceutical,strict,enterprise,1641459,133509,30,2026-05-13T13:27:05Z
CRIT-458037B8,PO-97864,CN,US_EAST,MSC,CN-US_EAST,electronics,strict,enterprise,1863138,103848,30,2026-05-12T13:27:05Z
CRIT-25226C04,PO-48754,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,pharmaceutical,strict,enterprise,1736187,100707,30,2026-05-09T13:27:05Z
CRIT-2FDCE7EC,PO-98223,CN,EU,Evergreen,CN-EU,pharmaceutical,strict,enterprise,2047782,108276,30,2026-05-16T13:27:05Z
CRIT-ECE59C64,PO-24387,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,perishable,strict,enterprise,559161,102768,30,2026-05-19T13:27:05Z
CRIT-99EEE359,PO-27752,CN,US_EAST,Evergreen,CN-US_EAST,pharmaceutical,strict,enterprise,1406765,80008,30,2026-05-14T13:27:05Z
CRIT-E9F35FD5,PO-47025,CN,EU,Evergreen,CN-EU,electronics,strict,enterprise,2301573,134529,30,2026-05-16T13:27:05Z
CRIT-CD5EF00D,PO-98195,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,electronics,strict,enterprise,1627315,161274,30,2026-05-11T13:27:05Z
CRIT-30C2CA96,PO-17857,CN,EU,Hapag-Lloyd,CN-EU,electronics,strict,enterprise,1272647,128132,30,2026-05-14T13:27:05Z
CRIT-74F3780A,PO-78569,CN,US_EAST,Maersk,CN-US_EAST,electronics,strict,enterprise,2431265,82386,30,2026-05-11T13:27:05Z
CRIT-E22BA4EB,PO-30875,CN,EU,Hapag-Lloyd,CN-EU,electronics,strict,enterprise,1638781,84253,30,2026-05-10T13:27:05Z
CRIT-C42732A8,PO-10490,TW,US_WEST,MSC,TW-US_WEST,pharmaceutical,strict,enterprise,747699,192561,30,2026-05-13T13:27:05Z
CRIT-C50A5F9F,PO-26404,CN,EU,Hapag-Lloyd,CN-EU,electronics,strict,enterprise,2401609,85735,30,2026-05-08T13:27:05Z
CRIT-77286B53,PO-92133,CN,US_EAST,Hapag-Lloyd,CN-US_EAST,pharmaceutical,strict,enterprise,700344,150196,30,2026-05-10T13:27:05Z
CRIT-E77597A4,PO-25866,CN,EU,Evergreen,CN-EU,pharmaceutical,strict,enterprise,1912413,66238,30,2026-05-13T13:27:05Z
CRIT-B3C36D8C,PO-66995,TW,US_WEST,Evergreen,TW-US_WEST,electronics,strict,enterprise,1345103,121969,30,2026-05-13T13:27:05Z
CRIT-2A6C3864,PO-70163,CN,EU,Hapag-Lloyd,CN-EU,perishable,strict,enterprise,828715,190244,30,2026-05-16T13:27:05Z
CRIT-2125C691,PO-39767,TW,US_WEST,Evergreen,TW-US_WEST,pharmaceutical,strict,enterprise,597728,109847,30,2026-05-19T13:27:05Z
CRIT-9A8C1F6A,PO-50218,CN,EU,Evergreen,CN-EU,perishable,strict,enterprise,1272068,194906,30,2026-05-20T13:27:05Z
CRIT-6553A123,PO-99141,CN,EU,Hapag-Lloyd,CN-EU,pharmaceutical,strict,enterprise,818041,154674,30,2026-05-17T13:27:05Z
CRIT-87803EDE,PO-99194,TW,US_WEST,Evergreen,TW-US_WEST,perishable,strict,enterprise,1285664,184064,30,2026-05-17T13:27:05Z
CRIT-EA985C57,PO-88124,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,pharmaceutical,strict,enterprise,1691901,56303,30,2026-05-15T13:27:05Z
